Year,Month,Origin,Destination,Trips,Base Fare,Revenue,CommuteTime_Mins,OD_Distance_km
2022,February,GMA,QUE,2183,13,28379,2,0.98
2022,February,CUB,QUE,27698,13,360074,6,2.91
2022,February,SAN,QUE,3262,16,52192,9,4.31
2022,February,ORT,QUE,17380,16,278080,13,6.65
2022,February,SHA,QUE,24782,20,495640,14,7.47
2022,February,BON,QUE,12341,20,246820,16,8.48
2022,February,GUA,QUE,19435,20,388700,17,9.2
2022,February,BUE,QUE,5956,24,142944,21,11.1
2022,February,AYA,QUE,18886,24,453264,24,12.33
2022,February,MAG,QUE,7993,24,191832,27,13.57
2022,February,TAF,QUE,25312,28,708736,31,15.51
2022,March,NOR,QUE,13220,13,171860,3,1.23
2022,March,QUE,QUE,245,0,0,0,0
2022,March,GMA,QUE,1824,13,23712,2,0.98
2022,March,CUB,QUE,20708,13,269204,6,2.91
2022,March,SAN,QUE,2613,16,41808,9,4.31
2022,March,ORT,QUE,15542,16,248672,13,6.65
2022,March,SHA,QUE,19955,20,399100,14,7.47
2022,March,BON,QUE,10536,20,210720,16,8.48
2022,March,GUA,QUE,12879,20,257580,17,9.2
2022,March,BUE,QUE,6018,24,144432,21,11.1
2022,March,AYA,QUE,16611,24,398664,24,12.33
2022,March,MAG,QUE,6786,24,162864,27,13.57
2022,March,TAF,QUE,14367,28,402276,31,15.51
2022,April,NOR,QUE,31283,13,406679,3,1.23
2022,April,QUE,QUE,838,0,0,0,0
2022,April,GMA,QUE,5731,13,74503,2,0.98
2022,April,CUB,QUE,40602,13,527826,6,2.91
2022,April,SAN,QUE,4907,16,78512,9,4.31
2022,April,ORT,QUE,25043,16,400688,13,6.65
2022,April,SHA,QUE,36206,20,724120,14,7.47
2022,April,BON,QUE,17422,20,348440,16,8.48
2022,April,GUA,QUE,26856,20,537120,17,9.2
2022,April,BUE,QUE,9790,24,234960,21,11.1
2022,April,AYA,QUE,30114,24,722736,24,12.33
2022,April,MAG,QUE,11479,24,275496,27,13.57
2022,April,TAF,QUE,41013,28,1148364,31,15.51
2022,May,NOR,QUE,42705,13,555165,3,1.23
2022,May,QUE,QUE,1757,0,0,0,0
2022,May,GMA,QUE,8858,13,115154,2,0.98
2022,May,CUB,QUE,53036,13,689468,6,2.91
2022,May,SAN,QUE,6390,16,102240,9,4.31
2022,May,ORT,QUE,31682,16,506912,13,6.65
2022,May,SHA,QUE,46055,20,921100,14,7.47
2022,May,BON,QUE,21018,20,420360,16,8.48
2022,May,GUA,QUE,32418,20,648360,17,9.2
2022,May,BUE,QUE,11261,24,270264,21,11.1
2022,May,AYA,QUE,38493,24,923832,24,12.33
2022,May,MAG,QUE,14233,24,341592,27,13.57
2022,May,TAF,QUE,46617,28,1305276,31,15.51
2022,June,NOR,QUE,50065,13,650845,3,1.23
2022,June,QUE,QUE,2128,0,0,0,0
2022,June,GMA,QUE,11180,13,145340,2,0.98
2022,June,CUB,QUE,62753,13,815789,6,2.91
2022,June,SAN,QUE,7853,16,125648,9,4.31
2022,June,ORT,QUE,37589,16,601424,13,6.65
2022,June,SHA,QUE,55755,20,1115100,14,7.47
2022,June,BON,QUE,23972,20,479440,16,8.48
2022,June,GUA,QUE,37297,20,745940,17,9.2
2022,June,BUE,QUE,13528,24,324672,21,11.1
2022,June,AYA,QUE,42227,24,1013448,24,12.33
2022,June,MAG,QUE,17481,24,419544,27,13.57
2022,June,TAF,QUE,55542,28,1555176,31,15.51
2022,July,NOR,QUE,33349,13,433537,3,1.23
2022,July,QUE,QUE,462,0,0,0,0
2022,July,GMA,QUE,6407,13,83291,2,0.98
2022,July,CUB,QUE,54859,13,713167,6,2.91
2022,July,SAN,QUE,7123,16,113968,9,4.31
2022,July,ORT,QUE,33816,16,541056,13,6.65
2022,July,SHA,QUE,50832,20,1016640,14,7.47
2022,July,BON,QUE,21911,20,438220,16,8.48
2022,July,GUA,QUE,29490,20,589800,17,9.2
2022,July,BUE,QUE,11060,24,265440,21,11.1
2022,July,AYA,QUE,35206,24,844944,24,12.33
2022,July,MAG,QUE,14907,24,357768,27,13.57
2022,July,TAF,QUE,41738,28,1168664,31,15.51
2022,August,NOR,QUE,31997,13,415961,3,1.23
2022,August,QUE,QUE,361,0,0,0,0
2022,August,GMA,QUE,5980,13,77740,2,0.98
2022,August,CUB,QUE,54314,13,706082,6,2.91
2022,August,SAN,QUE,6887,16,110192,9,4.31
2022,August,ORT,QUE,33979,16,543664,13,6.65
2022,August,SHA,QUE,51061,20,1021220,14,7.47
2022,August,BON,QUE,23735,20,474700,16,8.48
2022,August,GUA,QUE,29376,20,587520,17,9.2
2022,August,BUE,QUE,10952,24,262848,21,11.1
2022,August,AYA,QUE,34113,24,818712,24,12.33
2022,August,MAG,QUE,15870,24,380880,27,13.57
2022,August,TAF,QUE,40642,28,1137976,31,15.51
2022,September,NOR,QUE,31538,13,409994,3,1.23
2022,September,QUE,QUE,307,0,0,0,0
2022,September,GMA,QUE,6023,13,78299,2,0.98
2022,September,CUB,QUE,54540,13,709020,6,2.91
2022,September,SAN,QUE,7358,16,117728,9,4.31
2022,September,ORT,QUE,34600,16,553600,13,6.65
2022,September,SHA,QUE,51410,20,1028200,14,7.47
2022,September,BON,QUE,24709,20,494180,16,8.48
2022,September,GUA,QUE,29572,20,591440,17,9.2
2022,September,BUE,QUE,11330,24,271920,21,11.1
2022,September,AYA,QUE,34651,24,831624,24,12.33
2022,September,MAG,QUE,16133,24,387192,27,13.57
2022,September,TAF,QUE,38915,28,1089620,31,15.51
2022,October,NOR,QUE,31541,13,410033,3,1.23
2022,October,QUE,QUE,411,0,0,0,0
2022,October,GMA,QUE,5823,13,75699,2,0.98
2022,October,CUB,QUE,56345,13,732485,6,2.91
2022,October,SAN,QUE,7648,16,122368,9,4.31
2022,October,ORT,QUE,36020,16,576320,13,6.65
2022,October,SHA,QUE,55473,20,1109460,14,7.47
2022,October,BON,QUE,25351,20,507020,16,8.48
2022,October,GUA,QUE,30305,20,606100,17,9.2
2022,October,BUE,QUE,11164,24,267936,21,11.1
2022,October,AYA,QUE,35024,24,840576,24,12.33
2022,October,MAG,QUE,16794,24,403056,27,13.57
2022,October,TAF,QUE,40965,28,1147020,31,15.51
2022,November,NOR,QUE,31461,13,408993,3,1.23
2022,November,QUE,QUE,526,0,0,0,0
2022,November,GMA,QUE,5969,13,77597,2,0.98
2022,November,CUB,QUE,56628,13,736164,6,2.91
2022,November,SAN,QUE,7575,16,121200,9,4.31
